,label,nPos,nNeg,log_nPos,log_nNeg,rPos,rNeg,rTot,rCount,adj_rCount,radious,PosNeg,rPositiveness,adj_rPositiveness,theta,xp,yp,x,y,publishtime,subkey
0,원단,337220,294860,12.728490815331972,12.59425594640381,0.13215575897661389,0.13025404973207935,0.13126176430032213,0.5895917471917944,0.9067861527099094,0.9067861527099094,0.5036235483229319,0.45520826716961166,0.6072583371006147,0.9538791653332227,0.5245969606175738,0.7396344743569238,0.6651895997611161,0.9378574351399396,2015-01-01,"원단,면,부직포,재질,안감,겉감,바느질,박음질,정전기"
1,착용감,114225,99415,11.645925466431473,11.507058286692182,0.044764520399453535,0.04391645646786498,0.04436584502771931,0.19813157380199287,0.643221316998963,0.643221316998963,0.5047815436948636,0.48469952680334266,0.6651116010880918,1.044754859897847,0.3229703890821956,0.5562587441272053,0.44251185556648126,0.7621475446659753,2015-01-01,"밀착,편안,구조,공간,구조,실리콘"
2,필터,125698,109716,11.741637483552793,11.605650487952428,0.0492607632757322,0.04846691080650078,0.048887572745532265,0.21850164792346677,0.665186767868744,0.665186767868744,0.5040615540924642,0.46636318383288144,0.6291410354489867,0.9882524275192061,0.3659525256064693,0.5554747385344474,0.5117580943822554,0.7767911785791626,2015-01-01,"교체,필터,교환,특허,허가,KF"
3,보관,48108,43183,10.781203762430508,10.673202178264951,0.018853416917285277,0.019076038220105753,0.018958071327586236,0.08367129095602015,0.5197965467010464,0.5197965467010464,0.4970653242708855,0.2881866253365893,0.33792121772614453,0.5308054075502863,0.448272349729825,0.26313561224211846,0.6798643644673642,0.39907999209306594,2015-01-01,"세탁,보관,케이스,부착,가방,패드,오염"
4,향균,25275,20286,10.137571043888672,9.91768627193594,0.009905215610384663,0.008961316058010451,0.00946148785483954,0.040889831895902506,0.215480092837823,0.215480092837823,0.5250151847982588,1.0,1.0,1.5707963267948966,1.3194350298690721e-17,0.215480092837823,2.6388700597381442e-17,0.430960185675646,2015-01-01,"자극,균,세균,살균"
5,냄새,28435,24748,10.2553760597409,10.116499956650879,0.01114361249777598,0.010932399181881231,0.011044320989090039,0.048020386913532435,0.24798697848028822,0.24798697848028822,0.504783774328435,0.48475633548789937,0.6652230431853524,1.0449299127348743,0.12448017491572257,0.21448129883216868,0.2878522521649136,0.49597395696057645,2015-01-01,"냄새,향"
6,디자인,186378,152583,12.135532148516967,11.935463989267681,0.07304111869563888,0.0674033564073454,0.07039080320371074,0.3153722305015993,0.7597670341906385,0.7597670341906385,0.5200711430056592,0.8740875622824427,0.903456358852269,1.419145929904636,0.11477784852604421,0.7510472633134159,0.12834820291737756,0.8398446894604257,2015-01-01,"디자인,패션,아이템,스타일,연예인,고급,스타,핏,포인트,다양,패턴,화이트,컬러,블랙,핑크,색상,꽃,흰색,검정,캐릭터"
7,숨쉬기,220294,188497,12.302718296831705,12.146837370624192,0.08633272275664013,0.08326832263565001,0.08489214638984462,0.38069978978801994,0.7947915295191593,0.7947915295191593,0.5090341427846217,0.5930026400230533,0.778832391478822,1.2233870597238186,0.2705971050266636,0.7473090272080175,0.31255863972803655,0.8631943530127728,2015-01-01,"숨,호흡,편안,서림,숨쉬기,호흡,공기,운동,띰밸브"
8,브랜드,38283,33384,10.552761212402086,10.415832022271388,0.015003021531646135,0.014747341776625305,0.014882826322793296,0.06531259092112514,0.5,0.5,0.5042970862636448,0.4723616019446868,0.6409081851346725,1.0067362230223271,0.2673108769971638,0.4225457312990005,0.42174666108587444,0.6666666666666666,2015-01-01,"브랜드,크리넥스,웰킵스,필슨,유한킴벌리, 3M"
9,여름용마스크,28331,25796,10.251711890471977,10.157974720130268,0.011102855131861836,0.01139535191917764,0.011240358050062548,0.04890352046596521,0.2565511880968243,0.2565511880968243,0.4934995533943606,0.197375317050814,0.23675735998838332,0.37189759141140954,0.23901321267382905,0.09322658569971921,0.5043674587312162,0.19672743439385543,2015-01-01,"여름,답답,더위,덴탈,덴탈마스크,통기성"
